"ObjectID","GlobalID","SampleDateTime","SampleLocationAccuracy","Gear","PointId","GearPointId","Sector","DissolvedOxygen_mgL","Conductivity_umhosCm","Salinity_ppt","TDS_mgL","pH","Turbidity_NTU","Temperature_F","Notes","CreationDate","Creator","EditDate","Editor","SecchiDepth_m","Precipitation","CloudCover","X","Y"
388,"d7f4c6e3-66d5-48c7-a623-41528e2b20a3",2024-08-27 07:56:00,"4","Dredge","Q17","DredgeQ17","3",7.02,1698,0.77,1011,6.3,2.95,85.7,NA,2024-08-27 11:44:14.515,"GeneralUser.lmmp",2024-08-27 11:44:14.515,"GeneralUser.lmmp",NA,"No","0",-90.4908228671245,30.1980443861721
389,"676926e0-7ffb-40b6-b4d5-18e8a9b55dac",2024-08-27 08:19:00,"4","Dredge","N20","DredgeN20","3",7.38,1800,0.82,1067,6.86,6.9,86.1,NA,2024-08-27 11:44:15.518,"GeneralUser.lmmp",2024-08-27 11:44:15.518,"GeneralUser.lmmp",NA,"No","0",-90.5251500460164,30.1897398216225
390,"0920b415-b39f-40f3-9961-cfd75ae453de",2024-08-27 08:38:00,"4","Dredge","L22","DredgeL22","4",7.33,1652,0.75,980,6.56,11.44,86,NA,2024-08-27 11:44:16.263,"GeneralUser.lmmp",2024-08-27 11:44:16.263,"GeneralUser.lmmp",NA,"No","0",-90.5479354736321,30.1843726180947
391,"dbd163a4-2722-4199-a54b-dd9016e8227a",2024-08-27 09:03:00,"4","Dredge","K19","DredgeK19","4",7.09,1630,0.74,971,6.14,4.63,85.7,NA,2024-08-27 11:44:16.775,"GeneralUser.lmmp",2024-08-27 11:44:16.775,"GeneralUser.lmmp",NA,"No","0",-90.5421790239447,30.2104180849405
392,"eb39f1a7-8e74-4608-b4a1-e27d51e45dca",2024-08-27 09:20:00,"3","Dredge","L18","DredgeL18","4",7.13,1631,0.74,970,6.1,3.47,85.7,NA,2024-08-27 11:44:17.484,"GeneralUser.lmmp",2024-08-27 11:44:17.484,"GeneralUser.lmmp",NA,"No","0",-90.5303312644911,30.2125739221023
393,"09bb68b5-21ae-4fcd-9b28-cef1b093a6bd",2024-08-27 09:45:00,"4","Dredge","I16","DredgeI16","5",7.15,1336,0.61,244,6.56,7.55,85.5,NA,2024-08-27 11:44:17.878,"GeneralUser.lmmp",2024-08-27 11:44:17.878,"GeneralUser.lmmp",NA,"No","0",-90.5425639083985,30.2399473786369
394,"a97d8f99-34f9-44af-879b-2b3425f887e7",2024-08-27 10:09:00,"4","Dredge","E17","DredgeE17","5",6.94,1195,0.53,705,6.67,5.89,86.5,NA,2024-08-27 11:44:18.33,"GeneralUser.lmmp",2024-08-27 11:44:18.33,"GeneralUser.lmmp",NA,"No","0",-90.5761379896548,30.2500493150544
395,"e6307530-afef-4167-9535-edf5951f907b",2024-08-27 10:25:00,"4","Dredge","D14","DredgeD14","5",7.03,1171,0.52,691,6.75,6.1,86.5,NA,2024-08-27 11:44:18.79,"GeneralUser.lmmp",2024-08-27 11:44:18.79,"GeneralUser.lmmp",NA,"No","0",-90.5699074500637,30.2757427037827
396,"c337bfda-022b-4b22-b3d0-93562e247635",2024-09-03 07:22:00,"4","Dredge","R8","DredgeR8","2",7.21,1976,0.92,1190,6.91,1.87,84.5,NA,2024-09-03 12:06:10.392,"GeneralUser.lmmp",2024-09-03 12:06:10.392,"GeneralUser.lmmp",NA,"No","50",-90.4451303431638,30.2579637811015
397,"b2df2f83-91ef-4942-99e7-cd5528403bab",2024-09-03 07:45:00,"3","Dredge","Q9","DredgeQ9","2",7.34,2154,1.01,1300,6.96,1.87,84.3,NA,2024-09-03 12:06:11.192,"GeneralUser.lmmp",2024-09-03 12:06:11.192,"GeneralUser.lmmp",NA,"No","50",-90.4566778483202,30.2553785877614
398,"abedda81-c0d1-4e58-9987-23a977bc3aa0",2024-09-03 08:06:00,"4","Dredge","Q12","DredgeQ12","2",7.46,1964,0.92,1187,6.8,1.99,84.1,NA,2024-09-03 12:06:12.248,"GeneralUser.lmmp",2024-09-03 12:06:12.248,"GeneralUser.lmmp",NA,"No","25",-90.4692757465434,30.2341873734082
399,"ddb4a65c-241e-4ce9-b8bb-9078351d07d8",2024-09-03 08:34:00,"4","Dredge","M7","DredgeM7","1",7.42,2964,1.41,1785,6.88,1.66,84.5,NA,2024-09-03 12:06:12.833,"GeneralUser.lmmp",2024-09-03 12:06:12.833,"GeneralUser.lmmp",NA,"No","50",-90.4764539924442,30.2867002964496
400,"0dba2ee7-7020-4d1b-a4a5-c943d957fda5",2024-09-03 08:57:00,"2","Dredge","M6","DredgeM6","1",7.53,3012,1.43,1811,7.11,2,84.7,NA,2024-09-03 12:06:13.389,"GeneralUser.lmmp",2024-09-03 12:06:13.389,"GeneralUser.lmmp",NA,"No","50",-90.4719312881951,30.2938407890938
401,"978d0d66-0ba2-4291-bc54-5cd8a7a618e0",2024-09-03 09:18:00,"1.5","Dredge","M5","DredgeM5","1",7.59,2811,1.33,1689,7,2.56,84.6,NA,2024-09-03 12:06:13.938,"GeneralUser.lmmp",2024-09-03 12:06:13.938,"GeneralUser.lmmp",NA,"No","50",-90.4671799277046,30.3008830916539
402,"b5a1a389-7463-484f-b75a-ce4e56e11d45",2024-09-03 09:38:00,"4","Dredge","J4","DredgeJ4","6",7.72,2505,1.18,1506,6.79,2.51,84.8,NA,2024-09-03 12:06:14.443,"GeneralUser.lmmp",2024-09-03 12:06:14.443,"GeneralUser.lmmp",NA,"No","25",-90.4843224410979,30.321325014071
403,"9d3ae890-3395-415f-b14f-178a182e2048",2024-09-03 09:59:00,"4","Dredge","H8","DredgeH8","6",7.68,2457,1.5,1472,6.8,2.58,85,NA,2024-09-03 12:06:14.907,"GeneralUser.lmmp",2024-09-03 12:06:14.907,"GeneralUser.lmmp",NA,"No","25",-90.5162576686967,30.301960771986
404,"7fceab72-407a-45c5-a24a-d0c8728dab25",2024-09-03 10:17:00,"4","Dredge","J7","DredgeJ7","6",7.71,3048,1.45,1830,7.09,1.74,84.8,NA,2024-09-03 12:06:15.443,"GeneralUser.lmmp",2024-09-03 12:06:15.443,"GeneralUser.lmmp",NA,"No","0",-90.4969216096068,30.2999027468437
405,"e0359015-96ae-448e-9965-d0d152e11247",2024-09-25 08:26:00,"4","eDNA_Inshore","141IN","eDNA_Inshore141IN","1",5.67,1627,0.76,990,7.3,2.96,83.4,NA,2024-09-25 15:06:24.055,"wray.gabel_lmmp_selu",2024-09-25 15:06:24.055,"wray.gabel_lmmp_selu",NA,"No","0",-90.4180887690296,30.2662339784505
406,"8c8e1337-bc75-4414-968c-6ddbb4813152",2024-09-25 08:46:00,"4","eDNA_Offshore","N9","eDNA_OffshoreN9","2",6.15,1654,0.76,994,7.26,3.14,84.7,NA,2024-09-25 15:06:24.877,"wray.gabel_lmmp_selu",2024-09-25 15:06:24.877,"wray.gabel_lmmp_selu",NA,"No","0",-90.4772554807859,30.2682218765746
407,"7041a0d0-2512-4c84-abe9-303c5a0f797a",2024-09-25 09:03:00,"4","eDNA_Inshore","186IN","eDNA_Inshore186IN","2",4.64,1465,0.69,905,7.13,2.67,81.9,NA,2024-09-25 15:06:25.439,"wray.gabel_lmmp_selu",2024-09-25 15:06:25.439,"wray.gabel_lmmp_selu",NA,"No","0",-90.4341584469784,30.2249169827325
408,"feaad6f8-6152-4e82-827e-4264d03cba25",2024-09-25 09:17:00,"4","eDNA_Offshore","P13","eDNA_OffshoreP13","2",5.28,1490,0.69,906,6.93,2.38,83.5,NA,2024-09-25 15:06:26.049,"wray.gabel_lmmp_selu",2024-09-25 15:06:26.049,"wray.gabel_lmmp_selu",NA,"No","0",-90.4808044125911,30.2309658936313
409,"fffddc9b-e421-49a0-a61c-7811e1a40608",2024-09-25 09:40:00,"3","eDNA_Offshore","N15","eDNA_OffshoreN15","3",5.08,14.33,0.66,869,7.04,2.03,83.8,NA,2024-09-25 15:06:26.827,"wray.gabel_lmmp_selu",2024-09-25 15:06:26.827,"wray.gabel_lmmp_selu",NA,"No","0",-90.5034808829374,30.2256122678188
410,"8e250798-1ef5-473c-8e3d-0f6c41de1ab3",2024-09-25 09:51:00,"3","eDNA_Offshore","N17","eDNA_OffshoreN17","3",3.89,1161,0.53,703,6.94,1.58,84,NA,2024-09-25 15:06:27.477,"wray.gabel_lmmp_selu",2024-09-25 15:06:27.477,"wray.gabel_lmmp_selu",NA,"No","0",-90.5121772139275,30.2110432500056
411,"5adb3a2f-3358-4cf6-b64c-1aa1d7959ac1",2024-09-25 10:08:00,"3","eDNA_Inshore","227IN","eDNA_Inshore227IN","3",1.86,1068,0.5,668,6.92,1.58,80.7,NA,2024-09-25 15:06:28.056,"wray.gabel_lmmp_selu",2024-09-25 15:06:28.056,"wray.gabel_lmmp_selu",NA,"No","0",-90.4579995708177,30.1914548580497
412,"127f3a41-fb6b-4f48-8b4e-ff3f471f917d",2024-09-25 10:20:00,"3","eDNA_Inshore","279IN","eDNA_Inshore279IN","3",2.53,790,0.35,472,6.82,1.87,85.2,NA,2024-09-25 15:06:28.741,"wray.gabel_lmmp_selu",2024-09-25 15:06:28.741,"wray.gabel_lmmp_selu",NA,"No","0",-90.5062173320754,30.1723477378376
413,"97b78d28-14bc-4c9c-90a6-e17938d79128",2024-09-25 10:35:00,"4","eDNA_Inshore","326IN","eDNA_Inshore326IN","4",3.9,782,0.34,456,6.97,3.5,87.9,NA,2024-09-25 15:06:29.349,"wray.gabel_lmmp_selu",2024-09-25 15:06:29.349,"wray.gabel_lmmp_selu",NA,"No","0",-90.5540432327478,30.1706081142539
414,"ef3e36e7-8b5a-4bf1-a7c4-2cb8ebcac8de",2024-09-25 10:45:00,"4","eDNA_Offshore","J24","eDNA_OffshoreJ24","4",2.93,661,0.28,381,6.77,2.75,89.1,NA,2024-09-25 15:06:30.096,"wray.gabel_lmmp_selu",2024-09-25 15:06:30.096,"wray.gabel_lmmp_selu",NA,"No","0",-90.5707830335255,30.1788683906188
415,"6019743b-bb0e-4249-af1e-2af370a85039",2024-09-25 10:57:00,"4","eDNA_Inshore","375IN","eDNA_Inshore375IN","4",1.27,574,0.25,336,6.54,3.23,87.5,NA,2024-09-25 15:06:30.682,"wray.gabel_lmmp_selu",2024-09-25 15:06:30.682,"wray.gabel_lmmp_selu",NA,"No","25",-90.5931575434132,30.1974418264365
416,"73fc5bfb-07e5-43be-a63c-bc1a47e97107",2024-09-25 11:09:00,"4","eDNA_Offshore","J21","eDNA_OffshoreJ21","4",2.83,710,0.31,415,6.11,2.45,87.4,NA,2024-09-25 15:06:31.182,"wray.gabel_lmmp_selu",2024-09-25 15:06:31.182,"wray.gabel_lmmp_selu",NA,"No","50",-90.5575867009271,30.2000541793868
417,"950a2ac2-5f94-4c6a-b22e-90d348f0a464",2024-09-25 11:21:00,"3","eDNA_Inshore","420IN","eDNA_Inshore420IN","4",3.68,1048,0.45,605,6.84,2.48,88.8,NA,2024-09-25 15:06:31.573,"wray.gabel_lmmp_selu",2024-09-25 15:06:31.573,"wray.gabel_lmmp_selu",NA,"No","50",-90.570984982259,30.2251624329294
418,"be4a1d8b-9a4c-45f0-824f-57195dc7bbaf",2024-09-25 11:39:00,"4","eDNA_Inshore","461IN","eDNA_Inshore461IN","5",6.51,1635,0.72,950,7.07,6.83,87.9,NA,2024-09-25 15:06:32.291,"wray.gabel_lmmp_selu",2024-09-25 15:06:32.291,"wray.gabel_lmmp_selu",NA,"No","50",-90.5822352615522,30.2613316875681
419,"e21aa243-d066-41de-bbe9-31e667ed8346",2024-09-25 11:54:00,"4","eDNA_Offshore","I12","eDNA_OffshoreI12","5",6.81,1420,0.63,835,7.02,4.44,86.9,NA,2024-09-25 15:06:32.838,"wray.gabel_lmmp_selu",2024-09-25 15:06:32.838,"wray.gabel_lmmp_selu",NA,"No","50",-90.5260995243863,30.2684862562869
420,"c9c40fcf-5d22-4547-b97b-cb17ce36c26c",2024-09-25 12:04:00,"4","eDNA_Offshore","K11","eDNA_OffshoreK11","5",5.99,1423,0.64,844,7.06,4.94,86.1,NA,2024-09-25 15:06:33.458,"wray.gabel_lmmp_selu",2024-09-25 15:06:33.458,"wray.gabel_lmmp_selu",NA,"No","50",-90.5078320756974,30.2669903788126
421,"18785353-eada-45c8-a485-ecdec9319f9d",2024-09-25 12:18:00,"6","eDNA_Inshore","507IN","eDNA_Inshore507IN","6",2.45,875,0.38,513,6.59,3.86,87.3,NA,2024-09-25 15:06:34.124,"wray.gabel_lmmp_selu",2024-09-25 15:06:34.124,"wray.gabel_lmmp_selu",NA,"No","75",-90.557703580915,30.3002134036882
422,"a769cda8-1b61-414a-b832-669480659e41",2024-09-25 12:29:00,"4","eDNA_Inshore","553IN","eDNA_Inshore553IN","6",6.93,1830,0.81,1059,7.13,1.59,88.6,NA,2024-09-25 15:06:34.765,"wray.gabel_lmmp_selu",2024-09-25 15:06:34.765,"wray.gabel_lmmp_selu",NA,"No","75",-90.5191840115361,30.3236488204824
423,"c7813439-7c1c-4758-996f-1af7d23904a7",2024-09-25 12:39:00,"3","eDNA_Offshore","H3","eDNA_OffshoreH3","6",6.8,1622,0.7,926,7.16,1.87,90.1,NA,2024-09-25 15:06:35.262,"wray.gabel_lmmp_selu",2024-09-25 15:06:35.262,"wray.gabel_lmmp_selu",NA,"No","75",-90.4946418340978,30.3368086865369
424,"be19752b-1463-4ed8-907a-1dd422794424",2024-09-25 12:53:00,"3","eDNA_Offshore","L6","eDNA_OffshoreL6","6",7.53,1776,0.77,1011,7.15,1.83,90.8,NA,2024-09-25 15:06:35.756,"wray.gabel_lmmp_selu",2024-09-25 15:06:35.756,"wray.gabel_lmmp_selu",NA,"No","50",-90.4790481623425,30.2979778502902
425,"7c2f46ef-1702-461c-a427-fce0fb6c47c0",2024-09-25 13:07:00,"4","eDNA_Inshore","48IN","eDNA_Inshore48IN","1",6.85,1715,0.76,990,6.96,3.1,89,NA,2024-09-25 15:06:36.294,"wray.gabel_lmmp_selu",2024-09-25 15:06:36.294,"wray.gabel_lmmp_selu",NA,"No","50",-90.4334450112652,30.3226079721975
426,"6781363c-4e0e-41a5-ad70-daa36289113f",2024-09-25 13:13:00,"4","eDNA_Offshore","Q2","eDNA_OffshoreQ2","1",7.8,1708,0.74,974,7.14,2.26,90.2,NA,2024-09-25 15:06:36.71,"wray.gabel_lmmp_selu",2024-09-25 15:06:36.71,"wray.gabel_lmmp_selu",NA,"No","50",-90.4263177707939,30.3051692209199
427,"088e677c-6c35-4627-b58d-b01fc6e2ab0f",2024-09-25 13:22:00,"4","eDNA_Inshore","96IN","eDNA_Inshore96IN","1",5.88,1655,0.75,977,6.88,3.3,86.4,NA,2024-09-25 15:06:37.062,"wray.gabel_lmmp_selu",2024-09-25 15:06:37.062,"wray.gabel_lmmp_selu",NA,"No","25",-90.4211618506161,30.2945407419857
428,"97606fd2-e349-4942-9c4a-c3288d3f00c1",2024-09-25 13:32:00,"4","eDNA_Offshore","S3","eDNA_OffshoreS3","1",5.56,1641,0.75,982,6.84,4.51,85.3,NA,2024-09-25 15:06:37.608,"wray.gabel_lmmp_selu",2024-09-25 15:06:37.608,"wray.gabel_lmmp_selu",NA,"No","25",-90.4160707047826,30.2892855168521
429,"4834df52-2f89-45c2-907c-7aedb14413b7",2024-09-30 10:56:00,"6","Electrofishing","105ESH","Electrofishing105ESH","5",7.39,1218,0.56,741,7.13,3.83,83.4,NA,2024-10-01 16:53:25.965,"GeneralUser.lmmp",2024-10-01 16:53:25.965,"GeneralUser.lmmp",NA,"No","75",-90.5681503553366,30.2837785580517
430,"64e6f52f-fca8-4dd5-b5e5-e80e547c01d3",2024-09-30 12:05:00,"3","Electrofishing","99ESH","Electrofishing99ESH","5",9.33,1173,0.53,704,7.66,3.87,83.8,NA,2024-10-01 16:53:26.61,"GeneralUser.lmmp",2024-10-01 16:53:26.61,"GeneralUser.lmmp",NA,"No","75",-90.5816010822843,30.2619698055258
431,"bc53146e-51f1-4ffe-b4d2-634bfab4c9c6",2024-09-30 13:00:00,"4","Electrofishing","97ESH","Electrofishing97ESH","5",9.87,1167,0.53,699,7.93,3.86,85.1,NA,2024-10-01 16:53:27.144,"GeneralUser.lmmp",2024-10-01 16:53:27.144,"GeneralUser.lmmp",NA,"No","75",-90.5822893063057,30.2523159730191
432,"203c1895-6d12-45ec-9928-3e3830f9499f",2024-09-30 13:55:00,"4","Electrofishing","90ESH","Electrofishing90ESH","4",7,818,0.37,493,7,3.16,84.1,NA,2024-10-01 16:53:27.586,"GeneralUser.lmmp",2024-10-01 16:53:27.586,"GeneralUser.lmmp",NA,"No","75",-90.5708410136828,30.2285766347695
433,"8415c8c2-1bee-4687-9169-7794935b3a74",2024-09-30 14:59:00,"2","Electrofishing","95ESH","Electrofishing95ESH","4",9.2,1164,0.53,697,7.46,6.65,84.8,NA,2024-10-01 16:53:28.07,"GeneralUser.lmmp",2024-10-01 16:53:28.07,"GeneralUser.lmmp",NA,"No","75",-90.5824570874513,30.246427458878
434,"256b56bd-e84d-4764-96fd-f465e101b3d2",2024-10-01 11:29:00,"3","Electrofishing","94ESH","Electrofishing94ESH","4",8.93,1186,0.54,712,7.52,4.2,84.8,NA,2024-10-01 16:53:28.527,"GeneralUser.lmmp",2024-10-01 16:53:28.527,"GeneralUser.lmmp",NA,"No","50",-90.5809356207809,30.2419037668922
435,"2895ee32-c8a2-4b5d-9036-5945b032df1e",2024-10-01 13:14:00,"4","Electrofishing","20ESH","Electrofishing20ESH","1",7.81,1597,0.75,973,7.23,3.76,83.1,NA,2024-10-01 16:53:29.024,"GeneralUser.lmmp",2024-10-01 16:53:29.024,"GeneralUser.lmmp",NA,"No","75",-90.4196524855019,30.2921140835875
436,"ccc6c0ff-f84c-466b-a46f-1eb8fd12ddf8",2024-10-01 14:07:00,"1.5","Electrofishing","21ESH","Electrofishing21ESH","1",8.05,1617,0.74,970,7.3,3.96,85.1,NA,2024-10-01 16:53:29.479,"GeneralUser.lmmp",2024-10-01 16:53:29.479,"GeneralUser.lmmp",NA,"No","25",-90.4131000860205,30.2901754242025
437,"2f1db0a3-d739-4d27-b2c0-f74ddc0a2f87",2024-10-01 14:51:00,"2","Electrofishing","14ESH","Electrofishing14ESH","1",7.75,1496,0.69,898,7.13,4.69,84.9,NA,2024-10-01 16:53:29.98,"GeneralUser.lmmp",2024-10-01 16:53:29.98,"GeneralUser.lmmp",NA,"No","25",-90.4165647927398,30.3087214614647
438,"c6b5b2bf-534f-4636-954f-00b0c31369fa",2024-10-02 09:13:00,"4","CrabTrap","Q15","CrabTrapQ15","3",7.1,1394,0.68,882,7.04,5.03,79.6,NA,2024-10-02 14:58:36.605,"GeneralUser.lmmp",2024-10-02 14:58:36.605,"GeneralUser.lmmp",NA,"No","0",-90.4822417995805,30.2120775658553
439,"150833f7-6eff-4520-985b-ee159258d0dc",2024-10-02 09:23:00,"4","CrabTrap","T16","CrabTrapT16","3",7.25,1526,0.74,966,7.04,5.7,79.4,NA,2024-10-02 14:58:37.217,"GeneralUser.lmmp",2024-10-02 14:58:37.217,"GeneralUser.lmmp",NA,"No","0",-90.4653876965501,30.1926751441713
440,"c9bdc2a2-7bd9-4e4b-ac38-21239d91154a",2024-10-02 09:39:00,"4","CrabTrap","R19","CrabTrapR19","3",6.85,1186,0.56,744,7.08,7.73,80.3,NA,2024-10-02 14:58:37.673,"GeneralUser.lmmp",2024-10-02 14:58:37.673,"GeneralUser.lmmp",NA,"No","0",-90.492481332035,30.180037999084
441,"718a4c7e-5eb6-46fb-b296-f9afd580702e",2024-10-02 09:45:00,"4","CrabTrap","Q20","CrabTrapQ20","3",7.01,1120,0.53,700,7.24,6.26,80.8,NA,2024-10-02 14:58:38.164,"GeneralUser.lmmp",2024-10-02 14:58:38.164,"GeneralUser.lmmp",NA,"No","0",-90.5035467873047,30.1774919321728
442,"a4bd1110-2f9c-4074-93db-58ffe732692e",2024-10-02 09:56:00,"4","CrabTrap","P21","CrabTrapP21","3",7.11,1109,0.52,690,7.06,7.65,81.1,NA,2024-10-02 14:58:38.523,"GeneralUser.lmmp",2024-10-02 14:58:38.523,"GeneralUser.lmmp",NA,"No","0",-90.5150718006418,30.175968896094
443,"4862005c-7faf-4cb3-a55d-48dc2623615f",2024-10-02 10:02:00,"3","CrabTrap","O20","CrabTrapO20","3",7.11,1129,0.53,705,7.07,7.38,80.8,NA,2024-10-02 14:58:39.256,"GeneralUser.lmmp",2024-10-02 14:58:39.256,"GeneralUser.lmmp",NA,"No","0",-90.5175644513431,30.1858957955116
444,"5789f717-3b73-498c-8b2c-66f780d5e63c",2024-10-02 10:11:00,"4","CrabTrap","M21","CrabTrapM21","3",6,639,0.3,399,6.97,6.42,80.9,NA,2024-10-02 14:58:39.694,"GeneralUser.lmmp",2024-10-02 14:58:39.694,"GeneralUser.lmmp",NA,"No","0",-90.5364889455326,30.187178154833
445,"c2379712-addd-4921-aec1-698bc3a7f897",2024-10-02 10:21:00,"4","CrabTrap","O18","CrabTrapO18","3",7.07,1259,0.6,792,7.14,4.81,80.2,NA,2024-10-02 14:58:40.323,"GeneralUser.lmmp",2024-10-02 14:58:40.323,"GeneralUser.lmmp",NA,"No","0",-90.5093246814563,30.1998447975741
446,"2fe572c1-d550-4b52-b79a-59af294d4ae4",2024-10-02 10:31:00,"4","CrabTrap","M18","CrabTrapM18","3",5.92,812,0.38,511,6.89,6.54,79.9,NA,2024-10-02 14:58:40.766,"GeneralUser.lmmp",2024-10-02 14:58:40.766,"GeneralUser.lmmp",NA,"No","0",-90.5234626789245,30.2083026164281
447,"53e3d55f-b1d4-48ab-9d2b-7ee470bc1a68",2024-10-02 10:38:00,"4","CrabTrap","M19","CrabTrapM19","3",6.46,906,0.43,567,6.97,5.26,80.6,NA,2024-10-02 14:58:41.152,"GeneralUser.lmmp",2024-10-02 14:58:41.152,"GeneralUser.lmmp",NA,"No","0",-90.5277535631562,30.2014433958817
448,"7b0a1b36-e751-4fef-b60c-2f2409f78b70",2024-10-02 10:45:00,"4","CrabTrap","L19","CrabTrapL19","4",5.42,727,0.34,456,6.84,5.69,80.5,NA,2024-10-02 14:58:41.589,"GeneralUser.lmmp",2024-10-02 14:58:41.589,"GeneralUser.lmmp",NA,"No","0",-90.5350115505172,30.2056126126561
449,"487415c8-6ada-4357-95b8-09410ec41bc9",2024-10-02 10:54:00,"4","CrabTrap","K21","CrabTrapK21","4",593,559,0.26,349,6.97,6.43,80.7,NA,2024-10-02 14:58:42.02,"GeneralUser.lmmp",2024-10-02 14:58:42.02,"GeneralUser.lmmp",NA,"No","0",-90.5508478912064,30.1957820370084
450,"b2ec6b80-8d5a-48df-9f00-ecb04dcda06b",2024-10-02 10:59:00,"4","CrabTrap","J22","CrabTrapJ22","4",5.23,546,0.25,340,6.82,7.24,81.1,NA,2024-10-02 14:58:42.418,"GeneralUser.lmmp",2024-10-02 14:58:42.418,"GeneralUser.lmmp",NA,"No","0",-90.5619912440559,30.1929703974415
451,"2b222367-29e9-43cb-a95e-1968a3d01139",2024-10-02 11:06:00,"4","CrabTrap","J24","CrabTrapJ24","4",7.14,564,0.25,344,7.07,6.97,83.4,NA,2024-10-02 14:58:42.852,"GeneralUser.lmmp",2024-10-02 14:58:42.852,"GeneralUser.lmmp",NA,"No","0",-90.5706794444032,30.1788644367216
452,"7b4eb2b9-402b-4cb9-87b9-398e691681a8",2024-10-02 11:16:00,"4","CrabTrap","I20","CrabTrapI20","4",6.7,914,0.43,568,6.91,7.58,81.5,NA,2024-10-02 14:58:43.334,"GeneralUser.lmmp",2024-10-02 14:58:43.334,"GeneralUser.lmmp",NA,"No","0",-90.5604204307274,30.2110773934544
453,"22c3a34a-7628-49e4-8a52-29df90800566",2024-10-02 11:22:00,"4","CrabTrap","H19","CrabTrapH19","4",7.38,1067,0.5,664,7,6.48,81.4,NA,2024-10-02 14:58:44.027,"GeneralUser.lmmp",2024-10-02 14:58:44.027,"GeneralUser.lmmp",NA,"No","0",-90.5627781323524,30.2227852009941
454,"55524884-c923-4ae1-8edd-58a9a99bdaf6",2024-10-02 11:32:00,"4","CrabTrap","I19","CrabTrapI19","4",6.73,970,0.46,606,6.84,6.74,80.9,NA,2024-10-02 14:58:44.423,"GeneralUser.lmmp",2024-10-02 14:58:44.423,"GeneralUser.lmmp",NA,"No","0",-90.556379710774,30.218440905182
455,"70b064d9-3c9f-4394-ae26-2a94b0b58155",2024-10-02 11:41:00,"4","CrabTrap","J18","CrabTrapJ18","4",6.61,933,0.44,583,6.83,5.41,80.8,NA,2024-10-02 14:58:44.693,"GeneralUser.lmmp",2024-10-02 14:58:44.693,"GeneralUser.lmmp",NA,"No","0",-90.5445228919414,30.2212465741373
456,"f38f556a-39fa-496c-819d-dd0ab6e2a03d",2024-10-02 11:53:00,"4","CrabTrap","H17","CrabTrapH17","4",7.63,1286,0.61,800,7,4.3,81.2,NA,2024-10-02 14:58:44.981,"GeneralUser.lmmp",2024-10-02 14:58:44.981,"GeneralUser.lmmp",NA,"No","0",-90.554853189444,30.2368553109617
457,"f4cf1904-7919-4aa7-843a-d98f3625101f",2024-10-02 12:03:00,"4","CrabTrap","G18","CrabTrapG18","4",7.84,1200,0.56,743,7.15,4.94,81.8,NA,2024-10-02 14:58:45.294,"GeneralUser.lmmp",2024-10-02 14:58:45.294,"GeneralUser.lmmp",NA,"No","0",-90.5658013067747,30.2341927535705
458,"58ae52c7-64ee-4ce0-a631-898bd214a570",2024-10-02 12:13:00,"3","CrabTrap","E17","CrabTrapE17","5",8.05,1276,0.6,790,7.1,4.65,81.9,NA,2024-10-02 14:58:45.592,"GeneralUser.lmmp",2024-10-02 14:58:45.592,"GeneralUser.lmmp",NA,"No","0",-90.5759769440687,30.249979373045
459,"98acabcb-f66f-4fc8-a2ae-1206fd681f8e",2024-10-02 12:21:00,"4","CrabTrap","D16","CrabTrapD16","5",8.39,1271,0.59,776,7.28,4.33,83,NA,2024-10-02 14:58:45.889,"GeneralUser.lmmp",2024-10-02 14:58:45.889,"GeneralUser.lmmp",NA,"No","0",-90.5790290006778,30.2613047554831
460,"12100db8-225b-4618-ac16-8f0042ec4bc3",2024-10-02 12:29:00,"4","CrabTrap","F14","CrabTrapF14","5",7.6,1235,0.58,760,6.87,4.99,82.1,NA,2024-10-02 14:58:46.257,"GeneralUser.lmmp",2024-10-02 14:58:46.257,"GeneralUser.lmmp",NA,"No","0",-90.5558211030419,30.2670067257473
461,"8703089a-5ff0-4559-a39c-c2d0a1716366",2024-10-02 12:36:00,"4","CrabTrap","G14","CrabTrapG14","5",7.79,1357,0.64,839,6.98,3.97,81.7,NA,2024-10-02 14:58:46.707,"GeneralUser.lmmp",2024-10-02 14:58:46.707,"GeneralUser.lmmp",NA,"No","0",-90.5491624738535,30.2627999380302
462,"806c5228-1405-4990-b2a2-9a40eb4b00b7",2024-10-02 12:45:00,"4","CrabTrap","H13","CrabTrapH13","5",7.88,1443,0.68,891,7.19,5.81,82.3,NA,2024-10-02 14:58:47.14,"GeneralUser.lmmp",2024-10-02 14:58:47.14,"GeneralUser.lmmp",NA,"No","0",-90.5377444379715,30.2653678445857
463,"75689050-4d4e-41aa-b117-d67c8562e6a9",2024-10-02 12:59:00,"4","CrabTrap","F11","CrabTrapF11","5",8.02,1148,0.53,698,7.08,4.08,83.5,NA,2024-10-02 14:58:47.683,"GeneralUser.lmmp",2024-10-02 14:58:47.683,"GeneralUser.lmmp",NA,"No","0",-90.5426344779908,30.2883485088843
464,"836d3561-785a-49fc-8656-2b3258805d6c",2024-10-02 13:11:00,"4","CrabTrap","I10","CrabTrapI10","5",8.75,1374,0.64,839,7.57,700,83.4,NA,2024-10-02 14:58:48.264,"GeneralUser.lmmp",2024-10-02 14:58:48.264,"GeneralUser.lmmp",NA,"No","0",-90.5172528399046,30.2826639938883
